name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Ra,3.6666666666666674,173.0,2.0,5.0,30.0,60.0,0.00,59.49,49.23
Chess,3.3235131311888795,229.0,2.0,2.0,60.0,90.0,0.00,9.95,5.95
Magic Maze,3.3799999999999994,200.0,1.0,8.0,15.0,20.0,31.99,26.99,17.00
Alhambra,3.3958497316636835,215.0,2.0,6.0,45.0,60.0,49.99,46.95,25.85
Shadows Over Camelot,3.36579060749677,211.0,3.0,7.0,60.0,90.0,0.00,686.63,43.86
Decrypto,3.8297872340425543,141.0,3.0,8.0,30.0,45.0,27.99,22.95,14.49
San Juan,3.500000000000001,206.0,2.0,4.0,45.0,60.0,0.00,0.00,0.00
Spyfall,3.221727158948686,235.0,3.0,8.0,15.0,30.0,31.99,20.95,18.76
The Grizzled,3.494791666666666,192.0,2.0,5.0,30.0,45.0,34.99,21.95,17.49
Paperback,3.4595959595959593,198.0,2.0,5.0,45.0,45.0,0.00,42.95,0.00
Grand Austria Hotel,3.848077640910788,141.0,2.0,4.0,60.0,120.0,89.99,101.84,44.75
Power Grid Deluxe (Europe/North America),3.934210526315789,38.0,2.0,2.0,120.0,120.0,0.00,94.95,0.00
Ethnos,3.652439024390243,164.0,2.0,6.0,45.0,60.0,61.99,37.99,28.99
Camel Up,3.304062453383719,221.0,2.0,8.0,15.0,30.0,56.99,42.49,29.59
Clank! In! Space!,3.988655321988655,111.0,2.0,4.0,30.0,60.0,84.99,54.95,38.99
Hive Pocket,3.6666666666666674,162.0,2.0,2.0,15.0,30.0,23.99,13.98,0.00
Village,3.596469301671614,173.0,2.0,4.0,60.0,90.0,74.99,0.00,33.11
Trajan,3.752823296806407,147.0,2.0,4.0,84.0,96.0,87.99,64.95,40.28
Escape: The Curse of the Temple,3.3802060008956563,203.0,1.0,5.0,10.0,15.0,72.99,55.95,35.80
Hanamikoji,3.7123287671232865,146.0,2.0,2.0,15.0,30.0,29.99,19.95,13.59
Chronicles of Crime,3.8106060606060614,132.0,1.0,4.0,60.0,90.0,56.99,36.95,17.79
Crokinole,3.841156126482215,138.0,2.0,4.0,30.0,30.0,0.00,0.00,0.00
Dice Throne: Season Two – Battle Chest,3.886363636363636,44.0,2.0,6.0,20.0,40.0,0.00,0.00,0.00
El Grande,3.8580645161290317,155.0,2.0,5.0,60.0,120.0,0.00,0.00,0.00
Seasons,3.5424496867919504,183.0,2.0,4.0,60.0,90.0,69.99,71.97,31.49
Pandemic: On the Brink,3.8478879924062643,147.0,2.0,5.0,60.0,75.0,47.99,37.99,23.99
Dominant Species,3.8095238095238098,147.0,2.0,6.0,120.0,240.0,34.99,78.89,56.79
Res Arcana,4.031250000000001,96.0,2.0,4.0,20.0,60.0,59.99,45.89,24.79
Nemesis,4.179487179487179,78.0,1.0,5.0,90.0,180.0,214.99,144.95,96.95
Potion Explosion,3.5425475687103614,172.0,2.0,4.0,30.0,45.0,64.99,50.95,11.63
The Lord of the Rings: The Card Game,3.5493827160493816,162.0,1.0,2.0,30.0,90.0,61.99,41.89,29.56
Pandemic: Iberia,3.815833801235262,137.0,2.0,4.0,45.0,60.0,0.00,0.00,0.00
Descent: Journeys in the Dark Second Edition,3.6037353973366666,155.0,1.0,5.0,60.0,120.0,112.99,80.74,53.85
Jamaica,3.39928039494603,185.0,2.0,6.0,30.0,60.0,84.99,59.49,28.79
Pandemic Legacy: Season 2,3.95400359874044,114.0,2.0,4.0,45.0,75.0,104.99,79.99,57.79
Munchkin,2.577129256173149,326.0,2.0,6.0,60.0,72.0,34.99,23.95,16.69
Diamant,3.336683417085426,199.0,3.0,8.0,30.0,30.0,47.99,27.95,52.77
Burgle Bros.,3.6092715231788057,151.0,1.0,4.0,45.0,90.0,57.45,63.95,57.45
Flamme Rouge,3.5833333333333344,144.0,2.0,4.0,30.0,45.0,84.99,53.99,27.29
Modern Art,3.6470588235294112,153.0,3.0,5.0,60.0,90.0,44.99,35.69,23.99
Blokus,3.221719457013574,221.0,2.0,4.0,20.0,20.0,41.99,23.97,20.99
Lords of Waterdeep: Scoundrels of Skullport,3.904342723004696,142.0,2.0,6.0,60.0,75.0,0.00,39.95,28.64
Kingdom Builder,3.4074967907573828,190.0,2.0,4.0,45.0,60.0,74.99,49.95,35.80
Horrified,3.989130434782608,92.0,1.0,5.0,60.0,0.0,74.99,39.89,0.00
Ticket to Ride: Map Collection Volume 5 - United Kingdom,3.864795918367347,56.0,2.0,5.0,30.0,75.0,57.99,98.03,25.29
Qwirkle,3.3309183386639716,194.0,2.0,4.0,45.0,60.0,24.99,23.89,7.56
Acquire,3.498428151303113,173.0,3.0,6.0,90.0,120.0,49.99,37.95,0.00
Lisboa,4.144662921348312,89.0,1.0,4.0,60.0,120.0,219.99,174.95,0.00
Carcassonne: Expansion 1 - Inns & Cathedrals,3.709250000000001,160.0,2.0,6.0,60.0,75.0,23.99,19.95,13.79
Citadels,3.196344359918765,209.0,2.0,8.0,30.0,60.0,43.99,27.95,20.99
Terraforming Mars: Prelude,4.3033707865168545,89.0,1.0,5.0,90.0,120.0,29.99,18.89,17.89
Caylus,3.6866283839212475,161.0,2.0,5.0,60.0,150.0,74.99,88.99,36.69
Elder Sign,3.22439024390244,205.0,1.0,8.0,60.0,120.0,51.99,70.85,23.79
