name,average_user_rating,num_user_ratings,min_players,max_players,min_playtime,max_playtime,price_au,price_ca,price_uk
Tiny Epic Quest,3.314016439909298,112.0,1.0,4.0,30.0,60.0,37.99,96.99,30.43
Heaven & Ale,3.752236135957066,86.0,2.0,4.0,60.0,90.0,95.99,67.99,35.80
Dixit: Odyssey,3.5739130434782616,115.0,3.0,12.0,30.0,36.0,46.99,33.99,29.99
Quantum,3.495238095238096,105.0,2.0,4.0,30.0,40.0,0.00,0.00,0.00
Legends of Andor,3.42156862745098,102.0,2.0,4.0,60.0,90.0,56.99,53.95,31.29
Dixit: Quest,3.7358490566037728,53.0,3.0,6.0,30.0,36.0,43.99,25.49,15.10
Nations,3.7321428571428577,92.0,1.0,5.0,120.0,180.0,0.00,0.00,0.00
Bunny Kingdom,3.5978260869565215,92.0,2.0,4.0,40.0,60.0,43.99,45.95,27.74
Go,3.500000000000001,114.0,2.0,2.0,30.0,180.0,0.00,40.95,0.00
Lords of Vegas,3.680851063829787,94.0,2.0,4.0,60.0,90.0,0.00,0.00,40.40
Stockpile,3.758241758241758,91.0,2.0,5.0,45.0,60.0,0.00,174.14,0.00
The Networks,3.476398601398599,104.0,1.0,5.0,60.0,90.0,74.99,50.95,0.00
Broom Service,3.504854368932039,103.0,2.0,5.0,30.0,75.0,39.99,42.95,0.00
Fuse,3.3714285714285728,105.0,1.0,5.0,10.0,15.0,0.00,27.95,26.99
Chaos in the Old World,3.722916666666667,96.0,3.0,4.0,90.0,120.0,0.00,0.00,0.00
Las Vegas,3.4862385321100904,109.0,2.0,5.0,30.0,45.0,0.00,0.00,0.00
Pulsar 2849,3.709302325581395,86.0,2.0,4.0,60.0,90.0,67.99,54.95,29.79
Last Will,3.4336283185840704,113.0,2.0,5.0,60.0,90.0,59.99,44.95,27.29
Gùgōng,3.7375000000000007,80.0,1.0,5.0,90.0,90.0,0.00,55.95,0.00
Clank! Legacy: Acquisitions Incorporated,4.444444444444443,27.0,2.0,4.0,90.0,120.0,139.99,97.95,22.37
Mr. Jack,3.352941176470587,119.0,2.0,2.0,30.0,30.0,57.99,45.99,0.00
War Chest,3.9636363636363634,55.0,2.0,4.0,30.0,45.0,69.99,44.95,35.99
Junk Art,3.589473684210526,95.0,2.0,6.0,30.0,45.0,0.00,249.99,0.00
Bruges,3.39622641509434,106.0,2.0,4.0,60.0,75.0,0.00,0.00,0.00
Summoner Wars: Guild Dwarves vs Cave Goblins,3.7391304347826084,23.0,2.0,4.0,30.0,45.0,0.00,133.80,0.00
Mint Works,3.2844036697247705,109.0,1.0,4.0,10.0,20.0,0.00,15.95,0.00
Vindication,4.0437158469945365,61.0,2.0,5.0,45.0,150.0,0.00,109.95,66.79
Catan: Seafarers Expansion,3.285714285714285,119.0,3.0,4.0,60.0,90.0,71.99,49.95,30.79
Cribbage,3.4742268041237114,97.0,2.0,4.0,30.0,30.0,0.00,22.61,0.00
Qwixx,3.3008849557522115,113.0,2.0,5.0,15.0,30.0,0.00,13.95,7.99
Arkham Horror: The King in Yellow Expansion,3.766666666666667,30.0,1.0,8.0,120.0,180.0,0.00,247.34,0.00
Cry Havoc,3.3908045977011505,87.0,2.0,4.0,90.0,120.0,64.99,57.85,27.95
Detective: A Modern Crime Game,3.8260869565217384,69.0,1.0,5.0,90.0,180.0,0.00,48.95,33.29
Wavelength,3.8508522727272716,64.0,2.0,20.0,30.0,45.0,64.99,42.49,26.85
Fort,3.8518518518518516,27.0,2.0,4.0,20.0,40.0,43.99,33.95,20.79
This War of Mine: The Board Game,3.8688524590163937,61.0,1.0,6.0,45.0,120.0,97.99,65.95,58.19
Ticket to Ride: Nordic Countries,3.677083333333333,96.0,2.0,3.0,30.0,60.0,69.99,79.94,31.79
Zooloretto,3.347192796610168,118.0,2.0,5.0,45.0,45.0,69.99,44.95,0.00
Bananagrams,2.9863013698630123,146.0,1.0,8.0,5.0,30.0,24.99,16.95,10.93
Apples to Apples,2.4805825242718442,206.0,4.0,10.0,30.0,30.0,0.00,23.00,0.00
Abyss,3.6034313725490197,85.0,2.0,4.0,45.0,60.0,71.99,0.00,0.00
Space Hulk: Death Angel - The Card Game,3.3551401869158872,107.0,1.0,6.0,30.0,60.0,0.00,0.00,0.00
Scythe: The Wind Gambit,3.72463768115942,69.0,1.0,7.0,90.0,140.0,39.99,22.95,17.99
Thurn and Taxis,3.4444444444444433,108.0,2.0,4.0,60.0,60.0,0.00,27.95,0.00
Star Wars: Outer Rim,3.830188679245283,53.0,1.0,4.0,120.0,180.0,94.99,70.99,46.49
My Little Scythe,3.6336794289422447,67.0,1.0,6.0,45.0,60.0,71.99,45.95,35.79
Wiz-War (eighth edition),3.7142857142857135,35.0,2.0,4.0,30.0,60.0,0.00,0.00,0.00
Ora et Labora,3.8149350649350664,77.0,1.0,4.0,60.0,180.0,0.00,79.95,0.00
Trains,3.3693539165237287,106.0,2.0,4.0,45.0,45.0,0.00,56.95,53.70
UNO,2.402531832428439,197.0,2.0,10.0,30.0,30.0,10.99,7.99,7.99
Oceans,3.9999999999999996,27.0,2.0,5.0,45.0,75.0,79.99,46.95,0.00
Elysium,3.5161290322580645,93.0,3.0,4.0,60.0,90.0,84.99,107.26,0.00
Summoner Wars: Master Set,3.4499999999999993,104.0,2.0,4.0,30.0,30.0,0.00,249.99,0.00
The Manhattan Project: Energy Empire,3.705194805194805,77.0,1.0,5.0,60.0,120.0,59.99,58.95,47.49
Railways of the World,3.6391941391941396,91.0,2.0,6.0,120.0,120.0,46.99,0.00,0.00
5-Minute Dungeon,3.3829787234042543,94.0,2.0,5.0,5.0,10.0,31.99,47.99,0.00
Clue,2.6773160443680655,173.0,3.0,6.0,30.0,60.0,0.00,17.57,5.36
Archipelago,3.399533618344345,83.0,2.0,5.0,30.0,240.0,0.00,185.26,42.51
Merchants & Marauders,3.4666666666666672,90.0,2.0,4.0,180.0,180.0,94.99,67.99,48.79
KeyForge: Call of the Archons - Archon Deck,3.68,25.0,2.0,2.0,15.0,45.0,8.99,4.43,7.99
Fugitive,3.4421052631578952,95.0,2.0,2.0,5.0,20.0,0.00,39.95,0.00
Century: Eastern Wonders,3.546686746987951,83.0,2.0,4.0,30.0,45.0,44.99,35.89,23.79
Bora Bora,3.625,88.0,2.0,4.0,60.0,120.0,0.00,149.99,0.00
Not Alone,3.3723404255319145,94.0,2.0,7.0,30.0,45.0,44.99,27.95,27.79
The Estates,3.9107142857142856,56.0,2.0,5.0,45.0,60.0,0.00,37.95,0.00
The Lord of the Rings,3.3269230769230775,104.0,2.0,5.0,60.0,72.0,64.99,50.11,34.99
Firefly: The Game,3.364583333333333,96.0,1.0,4.0,120.0,240.0,74.99,45.95,37.00
Schotten Totten,3.633340976840175,89.0,2.0,2.0,15.0,30.0,0.00,13.95,10.29
Dixit: Origins,3.703703703703704,27.0,3.0,6.0,30.0,45.0,42.45,25.49,15.99
Between Two Castles of Mad King Ludwig,3.68,75.0,2.0,7.0,45.0,60.0,59.99,41.95,26.29
Glen More,3.633333333333334,90.0,2.0,5.0,45.0,70.0,0.00,42.95,0.00
The Manhattan Project,3.69047619047619,84.0,2.0,5.0,120.0,120.0,0.00,296.10,0.00
A Fake Artist Goes to New York,3.481481481481482,81.0,5.0,10.0,20.0,20.0,0.00,21.95,12.29
Villagers,3.676470588235294,68.0,1.0,5.0,30.0,60.0,39.99,25.95,9.68
Dixit: Daydreams,3.6979166666666665,32.0,3.0,6.0,30.0,45.0,40.95,25.95,14.74
Age of Steam,3.8630434782608702,69.0,2.0,6.0,120.0,180.0,0.00,119.95,0.00
Tobago,3.4239130434782608,92.0,2.0,4.0,60.0,60.0,0.00,0.00,0.00
Zombicide,3.2129629629629624,108.0,1.0,6.0,20.0,180.0,104.99,249.98,56.99
Pandemic: Reign of Cthulhu,3.511111111111111,90.0,2.0,4.0,45.0,60.0,71.99,52.89,34.49
Aeon's End: War Eternal,4.133333333333333,60.0,1.0,4.0,60.0,75.0,74.99,47.89,36.99
Concordia: Salsa,4.150323275862072,58.0,2.0,5.0,90.0,120.0,53.99,30.95,25.85
Princes of Florence,3.529211469534051,93.0,2.0,5.0,75.0,90.0,51.99,0.00,0.00
Dead of Winter: The Long Night,3.5443037974683547,79.0,2.0,5.0,60.0,120.0,87.99,78.40,47.99
Sidereal Confluence,3.8771929824561395,57.0,4.0,9.0,120.0,150.0,0.00,59.95,0.00
Kingdom Death: Monster,4.12280701754386,57.0,1.0,4.0,60.0,180.0,0.00,0.00,0.00
Labyrinth,3.153698979591838,112.0,2.0,2.0,20.0,20.0,0.00,29.95,24.29
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,3.245283018867925,106.0,1.0,4.0,90.0,120.0,0.00,291.72,0.00
Spot It!,3.0999329309188486,117.0,2.0,8.0,6.0,18.0,17.99,9.99,0.00
Notre Dame,3.461054421768708,98.0,2.0,5.0,45.0,75.0,59.99,66.02,32.00
Imperial Settlers: Empires of the North,3.8648648648648645,37.0,1.0,4.0,45.0,90.0,91.99,54.95,0.00
Obsession,4.205882352941177,34.0,1.0,4.0,30.0,90.0,0.00,79.65,50.99
Millennium Blades,3.821917808219178,73.0,2.0,5.0,80.0,120.0,0.00,72.95,0.00
Fluxx,2.53757225433526,173.0,2.0,6.0,5.0,30.0,29.99,14.95,0.00
Rococo,3.7021548821548813,75.0,2.0,5.0,90.0,120.0,0.00,0.00,0.00
Ex Libris,3.518518518518519,81.0,2.0,4.0,30.0,60.0,79.99,0.00,0.00
Railroad Ink: Blazing Red,3.5131578947368416,76.0,1.0,6.0,20.0,30.0,27.99,33.67,16.29
Wingspan: European Expansion,4.4324324324324325,37.0,1.0,5.0,40.0,70.0,36.99,23.95,18.75
Ascension: Return of the Fallen,3.682926829268292,41.0,2.0,6.0,30.0,60.0,29.99,0.00,0.00
Morels,3.340206185567011,97.0,2.0,2.0,30.0,30.0,0.00,24.02,0.00
Neuroshima Hex!,3.453216374269006,95.0,1.0,4.0,30.0,45.0,0.00,42.95,0.00
Ticket to Ride: Map Collection Volume 4 - Nederland,3.6818181818181817,22.0,2.0,5.0,30.0,60.0,35.99,26.89,17.49
The Castles of Burgundy: The Card Game,3.293478260869564,92.0,1.0,4.0,30.0,60.0,0.00,13.99,0.00
Mottainai,3.296874999999999,88.0,2.0,5.0,15.0,30.0,19.99,13.95,0.00
Tyrants of the Underdark,3.910447761194029,67.0,2.0,4.0,60.0,75.0,79.99,87.89,0.00
Boss Monster,2.8257575757575775,132.0,2.0,4.0,30.0,45.0,34.99,17.98,17.79
Steam,3.543071161048688,89.0,3.0,5.0,90.0,90.0,0.00,39.95,0.00
PitchCar,3.666666666666668,78.0,2.0,8.0,30.0,45.0,164.99,119.95,0.00
Aeon's End: Legacy,4.042553191489362,47.0,1.0,4.0,60.0,75.0,117.99,0.00,58.50
Forbidden Stars,3.606060606060606,66.0,2.0,4.0,120.0,180.0,0.00,0.00,0.00
Roll Through the Ages: The Bronze Age,3.247422680412371,97.0,1.0,4.0,30.0,45.0,0.00,36.95,0.00
Navegador,3.860512820512821,75.0,2.0,5.0,60.0,90.0,74.99,80.75,36.29
Scotland Yard,2.998399014778325,116.0,2.0,6.0,45.0,45.0,19.99,34.95,18.00
Specter Ops,3.4162895927601817,85.0,2.0,5.0,60.0,90.0,89.99,55.24,36.79
Rummikub,2.983471074380165,121.0,2.0,4.0,60.0,60.0,0.00,15.97,11.29
Airlines Europe,3.7730654761904767,84.0,2.0,5.0,75.0,90.0,0.00,0.00,0.00
Monikers,3.778467908902691,69.0,4.0,16.0,30.0,60.0,39.99,56.95,0.00
Animal Upon Animal,3.4111111111111105,90.0,2.0,4.0,15.0,15.0,0.00,23.95,17.99
KLASK,3.6533333333333338,75.0,2.0,2.0,10.0,10.0,61.99,54.99,42.19
Watergate,4.3428571428571425,35.0,2.0,2.0,30.0,60.0,0.00,32.95,24.79
Last Night on Earth: The Zombie Game,3.1578947368421044,114.0,2.0,6.0,90.0,120.0,0.00,75.99,0.00
Steampunk Rally,3.3999999999999995,80.0,2.0,8.0,45.0,60.0,0.00,48.95,38.49
Star Realms: Colony Wars,3.700299700299702,77.0,2.0,2.0,20.0,30.0,23.99,13.95,11.99
Arkham Horror: Innsmouth Horror Expansion,3.727272727272728,22.0,1.0,8.0,180.0,180.0,0.00,0.00,0.00
Caverna: Cave vs Cave,3.4554263565891468,86.0,1.0,2.0,20.0,40.0,43.99,31.95,13.79
Stuffed Fables,3.5631868131868134,52.0,2.0,4.0,60.0,90.0,104.99,75.95,48.79
Cottage Garden,3.3743589743589744,91.0,1.0,4.0,45.0,60.0,87.99,59.85,35.80
Deus,3.4761904761904767,84.0,2.0,4.0,60.0,90.0,79.99,104.99,35.80
Celestia,3.3222222222222224,90.0,2.0,6.0,30.0,45.0,0.00,26.95,20.29
Deep Space D-6,3.698412698412699,63.0,1.0,1.0,30.0,45.0,0.00,0.00,0.00
Adrenaline,3.3707087486157246,84.0,3.0,5.0,30.0,60.0,0.00,63.90,36.99
Quarriors,3.152380952380952,105.0,2.0,4.0,30.0,30.0,0.00,79.66,53.70
Smash Up: The Big Geeky Box,3.666666666666666,27.0,2.0,4.0,45.0,45.0,27.99,167.31,0.00
Risk: Legacy,3.4933333333333327,75.0,3.0,5.0,60.0,72.0,59.99,62.95,39.39
St. Petersburg,3.3497023809523805,96.0,2.0,4.0,45.0,60.0,0.00,0.00,0.00
Small World: Grand Dames of Small World,3.687499999999999,32.0,2.0,5.0,40.0,80.0,0.00,61.50,0.00
Through the Ages: A Story of Civilization,3.7564102564102564,78.0,2.0,4.0,240.0,240.0,0.00,0.00,0.00
NMBR 9,3.2829417773237997,89.0,1.0,4.0,20.0,45.0,44.99,32.95,20.99
"Air, Land, & Sea",4.0576923076923075,52.0,2.0,2.0,15.0,30.0,25.99,12.95,11.95
Treasure Island,3.6507936507936503,63.0,2.0,5.0,45.0,60.0,71.99,59.95,35.79
51st State: Master Set,3.6062091503267983,68.0,1.0,4.0,60.0,90.0,53.99,47.95,0.00
Carcassonne: Hunters & Gatherers,3.494252873563219,87.0,2.0,5.0,30.0,45.0,79.99,44.95,27.29
Roll Player: Monsters & Minions,4.180000000000001,50.0,1.0,5.0,60.0,75.0,0.00,45.89,0.00
Baseball Highlights: 2045,3.5666666666666664,60.0,1.0,4.0,45.0,60.0,0.00,36.95,29.79
Diplomacy,3.298850574712645,87.0,2.0,7.0,180.0,360.0,43.99,30.95,22.37
Tiny Epic Kingdoms,3.1694036300777872,89.0,2.0,5.0,30.0,45.0,0.00,28.95,20.79
Valeria: Card Kingdoms,3.6961770623742454,71.0,1.0,5.0,30.0,45.0,0.00,0.00,34.57
Dominion: Envoy Promo Card,3.67741935483871,31.0,2.0,4.0,30.0,30.0,0.00,0.00,0.00
Among the Stars,3.3063446969696977,88.0,2.0,4.0,30.0,45.0,46.99,44.95,0.00
Monopoly Deal Card Game,2.9035087719298245,114.0,2.0,5.0,15.0,30.0,0.00,7.99,0.00
Nusfjord,3.7272727272727275,55.0,1.0,5.0,20.0,100.0,97.99,79.95,44.75
Condottiere,3.297619047619047,84.0,2.0,6.0,30.0,45.0,44.99,0.00,22.29
Parade,3.431159420289855,84.0,2.0,6.0,20.0,45.0,29.99,35.99,30.99
Vinhos Deluxe Edition,4.0502622377622375,44.0,1.0,4.0,60.0,145.0,0.00,126.95,0.00
It's a Wonderful World,3.780487804878049,41.0,1.0,5.0,30.0,60.0,49.99,40.95,32.79
Wasteland Express Delivery Service,3.621212121212121,66.0,2.0,5.0,90.0,120.0,0.00,87.95,41.99
Dragon Castle,3.5211267605633805,71.0,2.0,4.0,45.0,60.0,64.99,60.81,42.07
1960: The Making of the President,3.743961352657006,69.0,2.0,2.0,90.0,120.0,134.99,87.95,71.95
Yinsh,3.8359374999999996,64.0,2.0,2.0,30.0,60.0,0.00,36.95,33.57
Spirit Island: Branch & Claw,4.2368421052631575,38.0,1.0,4.0,90.0,120.0,44.99,26.95,23.49
Shogun,3.527613412228796,78.0,3.0,5.0,90.0,120.0,89.99,72.95,0.00
Exit: The Game - The Secret Lab,3.462600690448793,79.0,1.0,6.0,60.0,120.0,21.99,13.89,10.00
Dungeon Lords,3.4900914634146343,82.0,2.0,4.0,90.0,120.0,41.99,56.95,32.79
Stratego,2.946902654867256,113.0,2.0,2.0,45.0,45.0,39.99,32.95,18.49
Azul: Summer Pavilion,4.135135135135135,37.0,2.0,4.0,30.0,45.0,63.99,38.95,27.79
Pipeline,3.8809523809523814,42.0,2.0,4.0,120.0,120.0,106.99,67.95,0.00
Black Orchestra,3.5549999999999997,60.0,1.0,5.0,45.0,75.0,87.99,58.95,0.00
Nexus Ops,3.3882352941176466,85.0,2.0,4.0,45.0,90.0,0.00,0.00,0.00
Barrage,4.058823529411763,34.0,1.0,4.0,60.0,120.0,124.99,99.99,64.95
Terraforming Mars: Hellas & Elysium,3.9767441860465107,43.0,1.0,5.0,90.0,120.0,31.99,18.95,14.95
Gloom,2.553459119496856,159.0,2.0,4.0,60.0,60.0,32.99,21.95,18.99
Onirim,3.021052631578948,95.0,1.0,2.0,15.0,15.0,36.99,0.00,18.76
Exit: The Game – The Pharaoh's Tomb,3.534246575342466,73.0,1.0,6.0,60.0,120.0,21.99,13.89,11.99
The Godfather: Corleone's Empire,3.6093749999999996,64.0,2.0,5.0,90.0,120.0,0.00,37.40,51.20
Kanban: Driver's Edition,3.8035714285714275,56.0,2.0,4.0,60.0,120.0,0.00,321.73,0.00
Call to Adventure,3.777777777777777,54.0,1.0,4.0,30.0,60.0,63.99,36.95,28.99
Monopoly,1.9521739130434783,230.0,2.0,8.0,40.0,300.0,0.00,19.93,19.69
Sequence,3.0681818181818183,99.0,2.0,12.0,5.0,20.0,31.99,25.95,17.89
Fireball Island: The Curse of Vul-Kar,3.6393442622950816,61.0,2.0,4.0,30.0,60.0,111.99,69.95,54.79
Goa,3.628571428571428,70.0,2.0,4.0,90.0,90.0,0.00,0.00,0.00
Amerigo,3.530827702702703,74.0,2.0,4.0,90.0,90.0,0.00,85.34,0.00
The Taverns of Tiefenthal,4.041666666666666,48.0,2.0,4.0,60.0,60.0,67.99,49.95,27.00
Cacao,3.519480519480519,77.0,2.0,4.0,45.0,45.0,49.99,64.98,0.00
In the Year of the Dragon,3.5194805194805188,77.0,2.0,5.0,75.0,90.0,0.00,91.33,0.00
Scoville,3.330980392156863,85.0,2.0,6.0,60.0,90.0,0.00,53.95,43.99
The Lost Expedition,3.388888888888889,72.0,1.0,5.0,30.0,50.0,0.00,29.95,18.99
Hive: The Mosquito,3.6785714285714284,28.0,2.0,2.0,15.0,30.0,8.99,10.95,0.00
Sid Meier's Civilization: The Board Game,3.65625,64.0,2.0,4.0,120.0,240.0,0.00,681.42,0.00
Lords of Hellas,3.918367346938774,49.0,1.0,4.0,60.0,90.0,0.00,94.95,98.46
Backgammon,3.1315192743764166,98.0,2.0,2.0,30.0,30.0,0.00,12.99,0.00
Lancaster,3.716417910447761,67.0,2.0,5.0,60.0,60.0,0.00,49.39,0.00
Tides of Time,3.1170212765957452,94.0,2.0,2.0,15.0,30.0,17.99,11.95,8.00
The Bloody Inn,3.492753623188405,69.0,1.0,4.0,60.0,75.0,39.99,0.00,18.49
Arkham Horror: Curse of the Dark Pharaoh Expansion,3.625,24.0,1.0,8.0,240.0,240.0,0.00,0.00,0.00
Love Letter: Premium,3.594373257086378,71.0,2.0,8.0,15.0,30.0,44.99,0.00,0.00
Mage Knight: Ultimate Edition,4.545454545454546,33.0,1.0,4.0,150.0,180.0,0.00,119.95,90.92
Shards of Infinity: Deckbuilding Game,3.725806451612904,62.0,2.0,4.0,30.0,45.0,27.99,18.95,15.03
Harbour,3.0752688172043015,93.0,1.0,4.0,60.0,75.0,0.00,18.95,15.10
Santa Maria,3.7854406130268203,58.0,1.0,4.0,45.0,90.0,0.00,98.47,31.49
Civilization: A New Dawn,3.564516129032258,62.0,2.0,4.0,60.0,120.0,74.99,101.00,36.99
Blueprints,3.2243786176370453,89.0,2.0,4.0,30.0,45.0,0.00,29.99,0.00
Merchant of Venus: Second Edition,3.622222222222222,45.0,1.0,4.0,120.0,240.0,0.00,0.00,0.00
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,3.9183673469387745,49.0,1.0,8.0,60.0,120.0,72.99,0.00,31.79
Pit,3.0600000000000005,100.0,3.0,8.0,30.0,90.0,0.00,11.95,0.00
Dominion: Walled Village Promo Card,3.6376811594202896,23.0,2.0,4.0,30.0,30.0,0.00,0.00,0.00
Raiders of the North Sea: Hall of Heroes,4.111111111111111,45.0,2.0,4.0,180.0,240.0,47.99,31.95,27.99
Macao,3.5362318840579707,69.0,,,,,0.00,37.95,0.00
Battlelore Second Edition,3.734693877551021,63.0,2,2,60,90,0.00,127.18,0.00
Fairy Tale,3.010204081632653,98.0,2,5,30,45,34.99,64.31,0.00
Hardback,3.4799685781618224,67.0,1,5,45,90,0.00,51.95,0.00
Claustrophobia,3.5797101449275357,69.0,,,,,0.00,0.00,0.00
Chicago Express,3.4857142857142858,70.0,2,6,60,60,0.00,64.95,50.36
Colosseum,3.3717948717948723,78.0,3,5,60,90,0.00,99.56,0.00
Ticket to Ride: New York,3.4444444444444446,72.0,2,4,10,15,32.99,27.95,13.96
Smash Up: Awesome Level 9000,3.3544303797468356,79.0,2,2,45,60,19.99,18.39,19.99
Yahtzee,2.5738877710708694,126.0,2,10,30,30,0.00,14.95,8.94
Perudo,3.351314159900922,86.0,2,6,15,30,0.00,31.95,0.00
Pandemic: Fall of Rome,4.0,46.0,1,5,45,60,71.99,53.95,34.79
Champions of Midgard: Valhalla,4.1388888888888875,48.0,2,5,60,120,0.00,27.95,22.29
Empires of the Void II,3.933333333333333,30.0,2,5,90,150,0.00,76.95,67.29
Carcassonne: The Castle,3.45945945945946,74.0,2,2,30,30,0.00,0.00,0.00
Tsuro of the Seas,3.199999999999999,85.0,2,8,20,40,51.99,35.89,26.85
Aquasphere,3.4428571428571435,70.0,2,4,90,120,0.00,101.11,0.00
Escape Plan,3.8510638297872344,47.0,1,5,60,120,0.00,152.95,0.00
Dominion: Dark Ages Expansion,3.8610871440897334,61.0,2,4,30,45,63.99,38.95,32.49
Akrotiri,3.5666666666666655,60.0,2,2,45,45,0.00,86.60,0.00
Love Letter: Batman,3.3343915343915347,81.0,2,4,20,20,0.00,0.00,0.00
Thunderstone Quest,3.8825,50.0,2,5,45,80,104.99,69.95,67.29
A Few Acres of Snow,3.4247258225324035,59.0,2,2,60,120,0.00,0.00,0.00
Diamonds,3.3333333333333326,75.0,2,6,15,30,36.99,22.95,0.00
Mexica,3.7962962962962963,54.0,2,4,60,75,74.99,62.95,0.00
New York 1901,3.2345679012345676,81.0,2,4,30,60,0.00,57.99,17.29
Bargain Quest,3.6181818181818177,55.0,2,6,30,60,56.99,36.95,28.99
Rise of Augustus,3.1617336152219875,86.0,2,6,30,30,0.00,0.00,0.00
Happy Salmon,3.275,80.0,3,6,15,30,23.99,14.95,10.49
Coup: Reformation Expansion,3.4925373134328352,67.0,2,10,15,30,19.99,11.95,10.73
Yamatai,3.358974358974359,65.0,2,4,45,90,0.00,0.00,43.86
Smash Up: Science Fiction Double Feature,3.6111111111111116,54.0,2,2,45,60,31.99,20.89,0.00
Carpe Diem,3.8232405891980363,47.0,2,4,60,60,54.99,35.95,26.99
Thebes,3.544117647058825,68.0,,,,,0.00,106.63,31.32
Kanagawa,3.272260273972602,73.0,2,4,45,60,39.99,27.95,17.29
Calico,4.333333333333333,21.0,1,4,30,45,57.99,32.95,33.57
The Lord of the Rings: The Confrontation,3.6923076923076916,65.0,2,2,30,30,0.00,0.00,0.00
The Downfall of Pompeii,3.461722488038278,76.0,2,4,45,150,0.00,49.95,37.59
Looping Louie,3.2564102564102555,78.0,2,4,10,10,0.00,0.00,0.00
Scattergories,2.904761904761905,105.0,2,6,30,30,0.00,32.99,20.58
Clank!: Sunken Treasures,3.9956521739130437,46.0,2,4,60,75,31.99,23.89,18.49
SET,2.915094339622642,106.0,1,99,30,30,19.99,10.95,0.00
Eight-Minute Empire,3.1732558139534874,86.0,2,5,8,20,0.00,24.95,0.00
Dominion: Alchemy,3.2915611814346,79.0,2,4,24,30,39.99,26.95,20.49
Tainted Grail: The Fall of Avalon,4.28,25.0,1,4,120,180,247.99,0.00,0.00
Jambo,3.422535211267606,71.0,2,2,45,45,0.00,188.41,0.00
XCOM: The Board Game,3.2238805970149254,67.0,1,4,60,120,0.00,0.00,43.99
One Night Ultimate Werewolf: Daybreak,3.289222021194108,73.0,3,7,15,30,39.99,21.95,19.79
Mr. Jack Pocket,3.1136363636363633,88.0,2,2,15,30,24.99,19.99,0.00
Vikings,3.5500000000000007,68.0,,,,,0.00,0.00,0.00
Ticket to Ride: Märklin,3.6238859180035656,66.0,2,5,30,60,0.00,0.00,0.00
Betrayal Legacy,3.8863636363636367,44.0,3,5,45,90,0.00,72.98,48.95
Kahuna,3.1445783132530116,83.0,2,2,30,45,0.00,22.95,20.29
Timeline: Inventions,3.207317073170732,82.0,2,8,18,18,15.99,11.95,8.95
Fallout,3.333333333333333,63.0,1,4,120,180,74.99,117.11,41.79
Glen More II: Chronicles,4.249999999999999,28.0,2,4,75,90,114.99,69.89,49.49
Leaving Earth,3.8787878787878785,33.0,1,5,60,180,0.00,65.95,0.00
Terror In Meeple City,3.2151898734177218,79.0,2,4,45,60,0.00,0.00,0.00
Roll for the Galaxy: Ambition,3.9527186761229314,47.0,2,5,30,60,57.99,35.95,28.99
Mascarade,2.9099836333878883,94.0,2,13,30,45,17.99,29.99,7.89
Taboo,3.0106382978723407,94.0,4,10,20,20,0.00,23.96,0.00
Jenga,2.5785123966942147,121.0,1,8,20,20,0.00,17.57,0.00
Sekigahara: The Unification of Japan,3.8666666666666663,48.0,2,2,180,210,119.99,72.95,50.49
Tak,3.7142857142857144,49.0,2,2,20,20,0.00,37.95,29.56
Small World: Underground,3.3287671232876708,73.0,2,5,40,80,74.99,62.95,33.79
The Castles of Burgundy: The Dice Game,3.5830508474576277,59.0,1,5,15,30,0.00,13.99,0.00
Spyrium,3.3045333333333344,75.0,2,5,75,75,0.00,0.00,0.00
Black Angel,3.7837837837837833,37.0,1,4,60,120,79.99,72.95,49.99
Islebound,3.3927238805970146,67.0,2,4,60,120,0.00,175.77,36.86
Indonesia,3.803921568627451,51.0,2,5,180,240,0.00,199.99,0.00
Eldritch Horror: Forsaken Lore Expansion,4.088888888888888,45.0,1,8,120,240,35.99,25.95,18.49
London Second Edition,3.9314420803782513,47.0,2,4,60,90,0.00,52.46,0.00
Twice As Clever!,3.851063829787234,47.0,1,4,30,30,29.99,17.89,11.63
1775: Rebellion,3.7307692307692304,52.0,2,4,60,120,89.99,303.99,51.29
Cthulhu Wars,3.5968137254901977,51.0,2,4,90,120,0.00,169.95,113.94
CV,3.2435064935064917,77.0,2,4,60,90,0.00,0.00,0.00
Tiny Epic Zombies,3.421052631578947,57.0,1,5,30,45,41.99,26.89,22.79
Duelosaur Island,3.666666666666668,54.0,2,2,30,45,44.99,30.95,30.43
Cat Lady,3.304347826086958,69.0,2,4,30,45,35.99,22.95,19.79
Ashes: Rise of the Phoenixborn,3.4426229508196724,61.0,2,4,30,120,0.00,143.61,44.75
Palm Island,3.5555555555555554,54.0,1,2,15,15,0.00,17.99,0.00
Arkham Horror: Black Goat of the Woods Expansion,3.571428571428571,21.0,1,8,120,180,0.00,228.50,0.00
Two Rooms and a Boom,3.3387096774193554,62.0,6,30,7,20,0.00,0.00,0.00
Viceroy,3.445665445665446,63.0,1,4,45,60,46.99,34.95,0.00
Discworld: Ankh-Morpork,3.426470588235294,68.0,2,4,60,60,0.00,0.00,0.00
Draftosaurus,3.7380952380952372,42.0,2,5,15,15,37.99,25.19,18.68
